,state,city_or_county,address,latitude,longitude
214974,Illinois,Chicago,3600 W Douglas Blvd,41.8629,-87.716
214982,Illinois,Chicago,3000 E 80th St,41.7504,-87.5514
214985,Illinois,Chicago,N California Ave and W Cortland St,41.9157,-87.6971
214988,Illinois,Chicago,4111 W. Madison St,41.8806,-87.7288
215004,Illinois,Chicago,3800 W Roosevelt Rd,41.8669,-87.6902
215007,Illinois,Chicago,900 N Hamlin Ave,41.8973,-87.7213
215083,Illinois,Sterling,800 block of W 14th St,41.7991,-89.7066
215097,Illinois,Chicago,2800 block of W 64th St,41.7773,-87.6933
215098,Illinois,Chicago,700 block of N Lamon Ave,41.8931,-87.7482
215103,Illinois,Chicago,1600 S Harding Ave,41.8584,-87.7237
215126,Illinois,Chicago,1700 W Estes Ave,42.0114,-87.6723
215147,Illinois,Highland,1000 block of Cedar St,38.7392,-89.6895
215184,Illinois,Chicago,1500 block of W 71st St,41.7652,-87.6616
215217,Illinois,Chicago,700 Lawndale Ave,41.8936,-87.7187
215225,Illinois,Rockford,1900 block of Colorado Ave,42.2483,-89.0393
215228,Illinois,Highland,1000 block of Cedar St,38.7392,-89.6895
215240,Illinois,Chicago,2200 S California Ave,41.8516,-87.6955
215242,Illinois,Chicago,6300 S Lawler Ave,41.7783,-87.7484
215244,Illinois,Chicago,7700 S Peoria St,41.7536,-87.6466
215274,Illinois,Chicago,1600 W Adams St,41.879,-87.6668
215329,Illinois,Farmington,590 W Fort St,40.6981,-90.0149
215353,Illinois,Chicago,5200 S Cottage Grove Ave,41.8004,-87.6064
215364,Illinois,Oak Forest,5900 W 159th St,41.6029,-87.7632
215383,Illinois,East Saint Louis,Eads Bridge and River Park Dr,38.6282,-90.1698
215432,Illinois,Chicago,2500 N Lockwood Ave,41.9259,-87.7587
215439,Illinois,Chicago,9600 S Euclid Ave,41.7206,-87.5765
215441,Illinois,Chicago,7900 S May St,41.7505,-87.6525
215443,Illinois,Chicago,4100 S Michigan Ave,41.8201,-87.6231
215479,Illinois,Urbana,3100 block of Lincoln,40.145,-88.22
215480,Illinois,Chicago,53000 W Van Buren St,,
215481,Illinois,Chicago,1400 S Komensky Ave,41.8624,-87.7266
215491,Illinois,Midlothian,148th St and Keystone Ave,41.6237,-87.7188
215492,Illinois,Chicago,1700 block of W 17th St,41.8587,-87.6688
215495,Illinois,Algonquin,1600 Longview Dr,42.1839,-88.2791
215500,Illinois,Chicago,5200 W Madison St,41.8804,-87.7551
215501,Illinois,Chicago,1100 E 95th St,,
215524,Illinois,Rockford,500 South Ave,,
215536,Illinois,East Saint Louis (Cahokia),2913 Camp Jackson Rd,38.5499,-90.1288
215544,Illinois,Chicago,400 block of West 103rd St,41.707,-87.6332
215553,Illinois,Chicago,2500 block of W 45th S,41.812,-87.6872
215565,Illinois,Aurora,100 S Lincoln Ave,41.7538,-88.3127
215577,Illinois,Belleville,Sierra Dr,38.5458,-89.9397
215587,Illinois,Saint Charles,3600 block of Grand View Ct,41.9485,-88.3314
215588,Illinois,Chicago,Howard St and Dodge Ave,42.0193,-87.6996
215632,Illinois,Chicago Heights,1200 block of Division St,41.5097,-87.6646
215651,Illinois,Chicago,2300 block of E 80th St,,
215652,Illinois,Chicago,3100 block of W 13th St,41.8648,-87.6857
215653,Illinois,Chicago,9700 S Calumet Ave,41.7182,-87.6153
215654,Illinois,Chicago,700 S Western Ave,41.873,-87.6863
215668,Illinois,Chicago,7500 N Wolcott Ave,,
215696,Illinois,Peoria,1100 block of W Aiken Ave,40.6887,-89.6109
215704,Illinois,Rockford,400 N Central Ave,42.2799,-89.1161
215707,Illinois,Rockford,600 N Sunset Ave,42.2821,-89.1184
215726,Illinois,Chicago,3400 W Augusta Blvd,41.8994,-87.7122
215731,Illinois,Chicago,6800 block of W North Ave,41.9094,-87.795
215739,Illinois,Chicago,5500 block of W Jackson Blvd,41.8766,-87.7617
215740,Illinois,Chicago,4200 block of W 15th St,41.8606,-87.7299
215744,Illinois,Chicago,4200 block of S Michigan,41.8181,-87.6235
215761,Illinois,Elmhurst,Diversey Ave and N York Rd,41.9282,-87.9397
215775,Illinois,Chicago,1500 S Homan Ave,41.8607,-87.7107
215786,Illinois,Plainfield,13460 S Rt 59,41.6381,-88.2058
215787,Illinois,Chicago,4800 W Hutchinson St,41.958,-87.7475
215821,Illinois,Chicago,500 W 123rd St,41.6706,-87.6345
215825,Illinois,Chicago,5800 W Waveland Ave,41.9477,-87.7724
215826,Illinois,Chicago,8100 S Crandon Ave,41.7475,-87.5687
215827,Illinois,Chicago,2800 W Division St,41.9029,-87.6969
215840,Illinois,Chicago,3800 W Augusta Blvd,41.8991,-87.7213
215867,Illinois,Chicago,1000 W Argyle St,41.9734,-87.655
215868,Illinois,Chicago,5000 S Hoyne Ave,,
215872,Illinois,Chicago,2600 W Peterson Ave,41.9906,-87.6945
215874,Illinois,Chicago,3500 N Lavergne Ave,41.9446,-87.7521
215875,Illinois,Aurora,5th Ave and S Spencer St,41.7458,-88.3045
215881,Illinois,Joliet,2400 Meridian Dr,41.5659,-88.1666
215920,Illinois,Champaign,1300 Hanover Dr,40.1464,-88.268
215937,Illinois,Arlington Heights,2211 N Burke Dr,42.1156,-87.9726
215961,Illinois,Belleville,7600 block of W Main St,,
215962,Illinois,Chicago,6200 S Ada St,41.781,-87.6583
215964,Illinois,Chicago,S Emerald Ave and W 118th St,41.6797,-87.6408
215966,Illinois,Chicago,1 E 60th St,41.7855,-87.6255
215974,Illinois,Chicago,6900 S Indiana Ave,41.7692,-87.6202
215982,Illinois,Aurora,200 block of Beach St,41.7584,-88.2967
215990,Illinois,Chicago,5700 S Archer Ave,,
216004,Illinois,Lake Forest,1300 Estate Ln E,42.2163,-87.8868
216020,Illinois,Peoria,1312 N Broadway St,40.7037,-89.6072
216036,Illinois,Chicago,6600 S Marquette Rd,41.7752,-87.6148
216042,Illinois,Murphysboro,Alexander St,37.7577,-89.3482
216069,Illinois,Kankakee,700 Webster Cir E,41.1267,-87.8391
216073,Illinois,Decatur,E Lake Shore Dr and S Jasper St,39.8261,-88.94
216189,Illinois,Chicago,2410 Leavitt St,41.8481,-87.6807
216199,Illinois,Rockford,900 Ogilby Rd,42.2488,-89.1102
216203,Illinois,Rockford,Auburn St and Central Ave,42.2883,-89.116
216208,Illinois,Chicago,100 E Ontario St,41.8934,-87.6254
216221,Illinois,Chicago,300 W Garfield Blvd,41.7946,-87.6336
216251,Illinois,Freeport,500 block of E Wyandotte St,42.2904,-89.6115
216268,Illinois,Chicago,3900 W Montrose Ave,41.9611,-87.7258
216269,Illinois,Chicago,7000 W Grand Ave,41.9238,-87.8008
216282,Illinois,Chicago,200 E 121st St,41.6743,-87.6177
216332,Illinois,Chicago,7300 S Oglesby Ave,41.7621,-87.5677
216333,Illinois,Chicago,1 block of South Lockwood,41.8803,-87.7577
216371,Illinois,Chicago,8100 S Drexel Ave,41.7476,-87.6027
216377,Illinois,Chicago,11656 S Halsted St,41.6829,-87.6422
216384,Illinois,Rockford,800 block of 19th St,42.2594,-89.0596
216404,Illinois,Decatur,3129 Kent Ave,39.8808,-88.9458
216429,Illinois,Chicago,8500 South Drexel Ave,41.7397,-87.6026
216430,Illinois,Chicago,1300 S Independence Blvd,41.8642,-87.7205
216447,Illinois,Chicago,11300 S Aberdeen St,41.688,-87.6496
216519,Illinois,Chicago,400 E 133rd St,41.6526,-87.6113
216520,Illinois,Chicago,4600 N Greenview Ave,,
216525,Illinois,Moline,1400 block of 15th St,41.4983,-90.5156
216540,Illinois,Chicago,4200 S Kedzie Ave,41.8172,-87.7043
216541,Illinois,Peoria,2500 block of W Lavelle Ct,40.7185,-89.6487
216547,Illinois,Chicago,1100 S Richmond St,41.8682,-87.6999
216548,Illinois,Chicago,1000 block of W 59th St,41.787,-87.6498
216549,Illinois,Chicago,600 S Kostner Ave,41.8729,-87.7352
216550,Illinois,Chicago,3300 W Congress Pkwy,,
216551,Illinois,Chicago,1200 S Lawndale Ave,41.8662,-87.7178
216558,Illinois,Rockford,126 Lakin Terrace,42.276,-89.1076
216563,Illinois,Kankakee,100 S Entrance Ave,41.1198,-87.869
216570,Illinois,Rockford,4200 Florida Dr,,
216579,Illinois,Rockford,1500 block of Chestnut St,,
216586,Illinois,Kankakee,100 N Rosewood Ave,41.1194,-87.8555
216593,Illinois,Chicago,2700 block of E 80th St,41.75,-87.5589
216608,Illinois,Lincoln,106 Wyatt Ave,40.1441,-89.3667
216634,Illinois,Waukegan,1400 block of Dugdale Rd,42.3485,-87.849
216636,Illinois,Freeport,1100 S Galena Ave,,
216651,Illinois,Park Forest,200 Indianwood Blvd,41.4802,-87.6836
216653,Illinois,Chicago,11200 S Perry Ave,41.6907,-87.6258
216670,Illinois,Peoria,3400 W Oakcrest Dr,40.7191,-89.6468
216674,Illinois,Moline,10 block of Vale Ct,41.4784,-90.5311
