,state,city_or_county,address,latitude,longitude
127853,Texas,Houston,500 block of Mayford,,
127865,Texas,Desoto,1000 block of Longmeadow Lane,32.6075,-96.8775
127886,Texas,San Antonio,2434 SW Loop 410,29.4098,-98.6487
127890,Texas,Fort Worth,7300 block of Sycamore Trace Drive,32.6359,-97.3635
127891,Texas,Denton,Greenbriar Drive,33.2342,-97.1464
127919,Texas,San Antonio,2434 SW Loop 410,29.4098,-98.6487
127934,Texas,Mansfield,300 block of Morgan Road,32.5608,-97.1632
127959,Texas,Houston,3600 Gano,29.7932,-95.3551
127962,Texas,Dallas,2444 Walnut Ridge Street,32.8838,-96.896
128062,Texas,Houston,7000 block of Westview Drive,29.7947,-95.471
128067,Texas,Friona,1600 block of W. 7th,34.638,-102.735
128092,Texas,Dallas,2500 block of Bennett Avenue,32.8138,-96.7823
128105,Texas,San Antonio,South Zarzamora Street and San Luis Street,29.4228,-98.5276
128106,Texas,San Antonio,500 block of Pennystone Street,29.3786,-98.4456
128127,Texas,Houston,2900 Delano Street,29.7343,-95.3602
128153,Texas,Lubbock,300 block of Waco,33.5942,-101.867
128156,Texas,Buda,2400 block of Dove Crossing,30.1087,-97.8522
128171,Texas,Overton,1000 block of East Henderson Street,32.2761,-94.9681
128181,Texas,Dallas,12121 Coit Road,32.9138,-96.7694
128195,Texas,Midland,5401 Polo Club Road,32.0486,-102.112
128202,Texas,San Antonio,Blue Bonnet and West Gevers street,29.4281,-98.4565
128214,Texas,Fort Worth,2300 block of Anna Street,32.7457,-97.291
128258,Texas,San Antonio,4900 block of Woodstone Drive,29.5523,-98.5813
128263,Texas,Laredo,,27.5144,-99.4994
128265,Texas,Tomball,11600 Pebble Sands Dr,30.0483,-95.5937
128283,Texas,Houston,9755 South Kirkwood Drive,29.6727,-95.5873
128306,Texas,Marlin,MLK Drive and Rickleman Street,31.3023,-96.8859
128310,Texas,Marlin,,31.3084,-96.8902
128321,Texas,Houston,13210 Memorial Drive,29.7727,-95.5745
128386,Texas,Lubbock,1710 9th Street,33.5874,-101.855
128460,Texas,Fort Worth,2200 block of Evans Avenue,32.7215,-97.3186
128463,Texas,San Antonio,Fair Avenue and South Presa Street,29.3841,-98.4783
128467,Texas,Gainesville,US 82 and N Grand Ave,33.642,-97.1339
128495,Texas,San Antonio,500 block of South Spring Street,29.4242,-98.5308
128507,Texas,Killeen,North 18th Street,31.1248,-97.7198
128528,Texas,Longview,Tryon Road,32.5563,-94.7193
128587,Texas,San Antonio,2700 block of Chihuahua Street,29.4171,-98.5353
128589,Texas,Bexar (county),7000 block of Flint View,29.5422,-98.5716
128645,Texas,Southlake,1256 Main Street,32.943,-97.132
128647,Texas,Houston,North Wayside Drive,29.8011,-95.2877
128659,Texas,Longview,4100 block of Tryon Road,32.5573,-94.7202
128680,Texas,Henrietta,711 South Archer Street,33.8097,-98.1985
128706,Texas,Del Valle,,30.1681,-97.6134
128707,Texas,Dallas,8312 S Lancaster Rd,32.6464,-96.7807
128781,Texas,Corpus Christi,5155 I-37 Access South,27.8046,-97.485
128821,Texas,San Antonio,5500 block of San Fernando Street,29.4261,-98.5681
128829,Texas,San Antonio,800 block of Pecan Valley Drive,29.4075,-98.4327
128855,Texas,Longview,1108 Rainey Drive,32.4693,-94.7192
128904,Texas,Amarillo,SE 26th Street and Buchanan Street,35.1857,-101.836
128909,Texas,Harris (county),FM 529 and Eldridge Parkway,29.8796,-95.6084
128925,Texas,Pflugerville,300 block of Wild Senna Boulevard,30.4191,-97.6555
128971,Texas,Beaumont,4600 block of Maddox Street,30.0419,-94.0813
128987,Texas,Arlington,2000 block of East Pioneer Parkway,32.7106,-97.0755
128988,Texas,San Antonio,7400 block of Old Pearsall Road,29.3241,-98.6442
129002,Texas,Beaumont,1880 College Street,,
129035,Texas,San Antonio,5419 Brewster Street,29.5404,-98.3837
129091,Texas,Kermit,,31.8539,-103.095
129104,Texas,Longview,,32.5069,-94.7305
129112,Texas,Pflugerville,1200 block of Golden Eagle Street,30.4556,-97.6227
129161,Texas,Fayette (county),Old Smithville Road,29.9372,-97.1404
